Event_Type,Time,Source_Node,Destination_Node,Protocol,Packet_Size,Flags,Flow_ID,Source_Address,Destination_Address,Sequence_Number,Packet_ID
r,1.25896,0,1,tcp,1040,-------,0,0.0,1.0,26,40
+,1.25896,1,0,ack,40,-------,0,1.0,0.0,26,71
-,1.25896,1,0,ack,40,-------,0,1.0,0.0,26,71
r,1.26096,1,0,ack,40,-------,0,1.0,0.0,25,69
+,1.26096,0,1,tcp,1040,-------,0,0.0,1.0,45,72
-,1.2656,0,1,tcp,1040,-------,0,0.0,1.0,29,45
r,1.26728,0,1,tcp,1040,-------,0,0.0,1.0,27,42
+,1.26728,1,0,ack,40,-------,0,1.0,0.0,27,73
-,1.26728,1,0,ack,40,-------,0,1.0,0.0,27,73
r,1.26928,1,0,ack,40,-------,0,1.0,0.0,26,71
+,1.26928,0,1,tcp,1040,-------,0,0.0,1.0,46,74
-,1.27392,0,1,tcp,1040,-------,0,0.0,1.0,30,46
r,1.2756,0,1,tcp,1040,-------,0,0.0,1.0,28,43
+,1.2756,1,0,ack,40,-------,0,1.0,0.0,28,75
-,1.2756,1,0,ack,40,-------,0,1.0,0.0,28,75
r,1.2776,1,0,ack,40,-------,0,1.0,0.0,27,73
+,1.2776,0,1,tcp,1040,-------,0,0.0,1.0,47,76
-,1.28224,0,1,tcp,1040,-------,0,0.0,1.0,31,48
r,1.28392,0,1,tcp,1040,-------,0,0.0,1.0,29,45
+,1.28392,1,0,ack,40,-------,0,1.0,0.0,29,77
-,1.28392,1,0,ack,40,-------,0,1.0,0.0,29,77
r,1.28592,1,0,ack,40,-------,0,1.0,0.0,28,75
+,1.28592,0,1,tcp,1040,-------,0,0.0,1.0,48,78
-,1.29056,0,1,tcp,1040,-------,0,0.0,1.0,32,49
r,1.29224,0,1,tcp,1040,-------,0,0.0,1.0,30,46
+,1.29224,1,0,ack,40,-------,0,1.0,0.0,30,79
-,1.29224,1,0,ack,40,-------,0,1.0,0.0,30,79
r,1.29424,1,0,ack,40,-------,0,1.0,0.0,29,77
+,1.29424,0,1,tcp,1040,-------,0,0.0,1.0,49,80
-,1.29888,0,1,tcp,1040,-------,0,0.0,1.0,33,51
r,1.30056,0,1,tcp,1040,-------,0,0.0,1.0,31,48
+,1.30056,1,0,ack,40,-------,0,1.0,0.0,31,81
-,1.30056,1,0,ack,40,-------,0,1.0,0.0,31,81
r,1.30256,1,0,ack,40,-------,0,1.0,0.0,30,79
+,1.30256,0,1,tcp,1040,-------,0,0.0,1.0,50,82
-,1.3072,0,1,tcp,1040,-------,0,0.0,1.0,34,52
r,1.30888,0,1,tcp,1040,-------,0,0.0,1.0,32,49
+,1.30888,1,0,ack,40,-------,0,1.0,0.0,32,83
-,1.30888,1,0,ack,40,-------,0,1.0,0.0,32,83
r,1.31088,1,0,ack,40,-------,0,1.0,0.0,31,81
+,1.31088,0,1,tcp,1040,-------,0,0.0,1.0,51,84
-,1.31552,0,1,tcp,1040,-------,0,0.0,1.0,35,54
r,1.3172,0,1,tcp,1040,-------,0,0.0,1.0,33,51
+,1.3172,1,0,ack,40,-------,0,1.0,0.0,33,85
-,1.3172,1,0,ack,40,-------,0,1.0,0.0,33,85
r,1.3192,1,0,ack,40,-------,0,1.0,0.0,32,83
+,1.3192,0,1,tcp,1040,-------,0,0.0,1.0,52,86
-,1.32384,0,1,tcp,1040,-------,0,0.0,1.0,36,55
r,1.32552,0,1,tcp,1040,-------,0,0.0,1.0,34,52
+,1.32552,1,0,ack,40,-------,0,1.0,0.0,34,87
-,1.32552,1,0,ack,40,-------,0,1.0,0.0,34,87
r,1.32752,1,0,ack,40,-------,0,1.0,0.0,33,85
+,1.32752,0,1,tcp,1040,-------,0,0.0,1.0,53,88
-,1.33216,0,1,tcp,1040,-------,0,0.0,1.0,37,57
r,1.33384,0,1,tcp,1040,-------,0,0.0,1.0,35,54
+,1.33384,1,0,ack,40,-------,0,1.0,0.0,35,89
-,1.33384,1,0,ack,40,-------,0,1.0,0.0,35,89
r,1.33584,1,0,ack,40,-------,0,1.0,0.0,34,87
+,1.33584,0,1,tcp,1040,-------,0,0.0,1.0,54,90
-,1.34048,0,1,tcp,1040,-------,0,0.0,1.0,38,58
r,1.34216,0,1,tcp,1040,-------,0,0.0,1.0,36,55
+,1.34216,1,0,ack,40,-------,0,1.0,0.0,36,91
-,1.34216,1,0,ack,40,-------,0,1.0,0.0,36,91
r,1.34416,1,0,ack,40,-------,0,1.0,0.0,35,89
+,1.34416,0,1,tcp,1040,-------,0,0.0,1.0,55,92
-,1.3488,0,1,tcp,1040,-------,0,0.0,1.0,39,60
r,1.35048,0,1,tcp,1040,-------,0,0.0,1.0,37,57
+,1.35048,1,0,ack,40,-------,0,1.0,0.0,37,93
-,1.35048,1,0,ack,40,-------,0,1.0,0.0,37,93
r,1.35248,1,0,ack,40,-------,0,1.0,0.0,36,91
+,1.35248,0,1,tcp,1040,-------,0,0.0,1.0,56,94
-,1.35712,0,1,tcp,1040,-------,0,0.0,1.0,40,62
r,1.3588,0,1,tcp,1040,-------,0,0.0,1.0,38,58
+,1.3588,1,0,ack,40,-------,0,1.0,0.0,38,95
-,1.3588,1,0,ack,40,-------,0,1.0,0.0,38,95
r,1.3608,1,0,ack,40,-------,0,1.0,0.0,37,93
+,1.3608,0,1,tcp,1040,-------,0,0.0,1.0,57,96
-,1.36544,0,1,tcp,1040,-------,0,0.0,1.0,41,64
r,1.36712,0,1,tcp,1040,-------,0,0.0,1.0,39,60
+,1.36712,1,0,ack,40,-------,0,1.0,0.0,39,97
-,1.36712,1,0,ack,40,-------,0,1.0,0.0,39,97
r,1.36912,1,0,ack,40,-------,0,1.0,0.0,38,95
+,1.36912,0,1,tcp,1040,-------,0,0.0,1.0,58,98
-,1.37376,0,1,tcp,1040,-------,0,0.0,1.0,42,66
r,1.37544,0,1,tcp,1040,-------,0,0.0,1.0,40,62
+,1.37544,1,0,ack,40,-------,0,1.0,0.0,40,99
-,1.37544,1,0,ack,40,-------,0,1.0,0.0,40,99
r,1.37744,1,0,ack,40,-------,0,1.0,0.0,39,97
+,1.37744,0,1,tcp,1040,-------,0,0.0,1.0,59,100
-,1.38208,0,1,tcp,1040,-------,0,0.0,1.0,43,68
r,1.38376,0,1,tcp,1040,-------,0,0.0,1.0,41,64
+,1.38376,1,0,ack,40,-------,0,1.0,0.0,41,101
-,1.38376,1,0,ack,40,-------,0,1.0,0.0,41,101
r,1.38576,1,0,ack,40,-------,0,1.0,0.0,40,99
+,1.38576,0,1,tcp,1040,-------,0,0.0,1.0,60,102
-,1.3904,0,1,tcp,1040,-------,0,0.0,1.0,44,70
r,1.39208,0,1,tcp,1040,-------,0,0.0,1.0,42,66
+,1.39208,1,0,ack,40,-------,0,1.0,0.0,42,103
-,1.39208,1,0,ack,40,-------,0,1.0,0.0,42,103
r,1.39408,1,0,ack,40,-------,0,1.0,0.0,41,101
+,1.39408,0,1,tcp,1040,-------,0,0.0,1.0,61,104
-,1.39872,0,1,tcp,1040,-------,0,0.0,1.0,45,72
r,1.4004,0,1,tcp,1040,-------,0,0.0,1.0,43,68
+,1.4004,1,0,ack,40,-------,0,1.0,0.0,43,105
-,1.4004,1,0,ack,40,-------,0,1.0,0.0,43,105
r,1.4024,1,0,ack,40,-------,0,1.0,0.0,42,103
+,1.4024,0,1,tcp,1040,-------,0,0.0,1.0,62,106
-,1.40704,0,1,tcp,1040,-------,0,0.0,1.0,46,74
r,1.40872,0,1,tcp,1040,-------,0,0.0,1.0,44,70
+,1.40872,1,0,ack,40,-------,0,1.0,0.0,44,107
-,1.40872,1,0,ack,40,-------,0,1.0,0.0,44,107
r,1.41072,1,0,ack,40,-------,0,1.0,0.0,43,105
+,1.41072,0,1,tcp,1040,-------,0,0.0,1.0,63,108
-,1.41536,0,1,tcp,1040,-------,0,0.0,1.0,47,76
r,1.41704,0,1,tcp,1040,-------,0,0.0,1.0,45,72
+,1.41704,1,0,ack,40,-------,0,1.0,0.0,45,109
-,1.41704,1,0,ack,40,-------,0,1.0,0.0,45,109
r,1.41904,1,0,ack,40,-------,0,1.0,0.0,44,107
+,1.41904,0,1,tcp,1040,-------,0,0.0,1.0,64,110
-,1.42368,0,1,tcp,1040,-------,0,0.0,1.0,48,78
r,1.42536,0,1,tcp,1040,-------,0,0.0,1.0,46,74
+,1.42536,1,0,ack,40,-------,0,1.0,0.0,46,111
-,1.42536,1,0,ack,40,-------,0,1.0,0.0,46,111
r,1.42736,1,0,ack,40,-------,0,1.0,0.0,45,109
+,1.42736,0,1,tcp,1040,-------,0,0.0,1.0,65,112
-,1.432,0,1,tcp,1040,-------,0,0.0,1.0,49,80
r,1.43368,0,1,tcp,1040,-------,0,0.0,1.0,47,76
+,1.43368,1,0,ack,40,-------,0,1.0,0.0,47,113
-,1.43368,1,0,ack,40,-------,0,1.0,0.0,47,113
r,1.43568,1,0,ack,40,-------,0,1.0,0.0,46,111
+,1.43568,0,1,tcp,1040,-------,0,0.0,1.0,66,114
-,1.44032,0,1,tcp,1040,-------,0,0.0,1.0,50,82
r,1.442,0,1,tcp,1040,-------,0,0.0,1.0,48,78
+,1.442,1,0,ack,40,-------,0,1.0,0.0,48,115
-,1.442,1,0,ack,40,-------,0,1.0,0.0,48,115
r,1.444,1,0,ack,40,-------,0,1.0,0.0,47,113
+,1.444,0,1,tcp,1040,-------,0,0.0,1.0,67,116
